w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,fail_level,elapsed
11.6,10.6,3.4,26.0,16.4,7.6,0.0,0.5,14.0,26.0,0.07,0.01,2.0,35.0,0.035,0.01,0.1,0.49,0.8,1.8,4.2,4.7,17.0,23.0,4.1,2.7,1.1,0.6,0.62,3.8,10,692594000000
38.0,3.4,1.0,14.0,4.4,6.4,0.0,0.51,14.0,23.0,0.035,0.02,2.0,10.0,0.07,0.06,0.1,0.37,0.2,1.0,3.0,2.3,2.0,14.0,1.5,2.2,4.7,0.8,0.14,1.1,10,1133454000000
39.2,7.0,5.8,15.2,4.4,49.6,0.0,0.5,14.0,34.0,0.105,0.03,2.0,22.0,0.07,0.07,0.1,0.12,0.5,2.6,2.9,1.2,5.0,30.0,3.2,3.1,2.5,2.1,0.42,1.0,10,468610000000
35.6,13.0,3.4,16.4,24.8,18.4,0.0,0.51,14.0,18.0,0.105,0.05,2.0,14.0,0.105,0.08,0.1,0.17,3.3,1.8,4.8,5.0,30.0,10.0,0.3,1.5,0.8,0.5,0.59,4.7,10,758860000000
15.2,7.0,9.4,16.4,20.0,41.2,0.0,0.5,14.0,33.0,0.14,0.09,2.0,15.0,0.07,0.03,0.1,0.2,1.7,2.6,3.8,4.5,3.0,30.0,3.9,2.8,5.0,0.1,0.52,3.6,10,528962876028
51.2,13.0,4.6,11.6,22.4,38.8,0.0,0.51,14.0,28.0,0.105,0.02,2.0,15.0,0.175,0.02,0.1,0.38,2.8,2.2,4.9,4.8,7.0,1.0,0.1,3.2,3.4,1.5,0.15,2.1,10,630703000000
46.4,3.4,13.0,8.0,24.8,26.8,0.0,0.5,14.0,30.0,0.105,0.07,2.0,31.0,0.175,0.06,0.1,0.28,2.5,1.3,4.8,4.4,5.0,22.0,2.2,2.6,3.2,4.2,0.85,3.0,10,1452719000000
28.4,2.2,10.6,8.0,14.0,18.4,0.0,0.51,14.0,28.0,0.07,0.05,2.0,7.0,0.175,0.05,0.1,0.3,1.1,1.4,4.0,3.2,14.0,2.0,1.5,4.8,2.0,3.1,0.6,2.5,10,620894847017
36.8,4.6,10.6,20.0,4.4,32.8,0.0,0.51,14.0,29.0,0.035,0.01,2.0,27.0,0.105,0.01,0.1,0.46,0.4,1.5,2.1,4.4,17.0,16.0,3.0,1.6,3.3,3.0,0.12,1.4,10,707409661545
40.4,11.8,3.4,8.0,15.2,47.2,0.0,0.5,14.0,32.0,0.175,0.09,2.0,11.0,0.035,0.02,0.1,0.3,1.1,0.5,5.0,3.2,0.0,3.0,2.9,0.1,0.2,1.6,0.11,1.6,10,865515000000
34.4,10.6,10.6,14.0,9.2,37.6,0.0,0.5,14.0,35.0,0.14,0.01,2.0,21.0,0.07,0.02,0.1,0.26,0.8,0.9,3.3,4.8,27.0,9.0,3.1,1.9,1.9,4.5,0.3,2.8,10,726156000000
30.8,9.4,5.8,11.6,3.2,10.0,0.0,0.5,14.0,33.0,0.14,0.04,2.0,12.0,0.175,0.1,0.1,0.3,0.3,4.1,1.6,1.6,13.0,21.0,1.7,0.9,0.1,4.4,0.29,1.4,10,305514538366
15.2,1.0,2.2,3.2,9.2,32.8,0.0,0.51,14.0,23.0,0.14,0.07,2.0,30.0,0.14,0.04,0.1,0.2,0.9,1.3,4.2,3.1,1.0,8.0,3.2,1.1,0.8,2.4,0.58,1.0,10,1041171000000
15.2,5.8,7.0,23.6,21.2,53.2,0.0,0.5,14.0,24.0,0.175,0.03,2.0,14.0,0.07,0.01,0.1,0.48,1.9,1.9,3.9,4.2,12.0,27.0,0.5,1.3,3.0,4.6,1.71,3.2,10,548203000000
8.0,2.2,8.2,15.2,4.4,16.0,0.0,0.51,14.0,21.0,0.035,0.03,2.0,19.0,0.07,0.07,0.1,0.36,0.5,2.0,2.2,3.6,24.0,17.0,0.3,1.3,3.3,2.6,0.17,1.7,10,811422000000
14.0,5.8,8.2,12.8,22.4,37.6,0.0,0.51,14.0,19.0,0.105,0.03,2.0,35.0,0.14,0.04,0.1,0.24,1.8,1.9,3.8,3.6,3.0,11.0,2.6,3.7,1.3,3.1,0.68,3.0,10,1673188000000
41.6,2.2,9.4,17.6,24.8,50.8,0.0,0.51,14.0,29.0,0.105,0.05,2.0,31.0,0.14,0.08,0.1,0.19,2.0,3.5,4.5,4.8,6.0,16.0,3.9,0.1,1.9,3.1,0.21,3.0,10,282360000000
39.2,13.0,11.8,22.4,24.8,31.6,0.0,0.51,14.0,31.0,0.14,0.01,2.0,20.0,0.07,0.01,0.1,0.21,1.3,2.4,4.8,4.9,21.0,11.0,4.6,2.0,4.1,4.3,1.13,4.7,10,1597719000000
39.2,13.0,8.2,20.0,16.4,30.4,0.0,0.5,14.0,26.0,0.105,0.03,2.0,32.0,0.175,0.07,0.1,0.36,1.8,2.7,5.0,3.1,11.0,0.0,4.0,4.5,0.9,0.8,1.02,2.0,10,734844000000
11.6,9.4,13.0,20.0,24.8,23.2,0.0,0.5,14.0,34.0,0.07,0.07,2.0,24.0,0.175,0.05,0.1,0.25,2.6,3.1,4.3,3.9,8.0,2.0,2.8,2.7,2.4,4.8,1.24,3.3,10,545969000000
32.0,5.8,5.8,17.6,8.0,25.6,0.0,0.5,14.0,21.0,0.14,0.05,2.0,20.0,0.14,0.01,0.1,0.27,0.9,1.2,4.8,4.0,29.0,9.0,5.0,1.5,3.2,2.2,0.55,1.5,10,352765217930
24.8,11.8,8.2,16.4,4.4,11.2,0.0,0.5,14.0,33.0,0.14,0.05,2.0,34.0,0.14,0.06,0.1,0.29,0.3,4.1,1.5,3.9,28.0,17.0,2.4,4.6,2.1,3.6,0.26,1.3,10,389766000000
34.4,3.4,5.8,18.8,10.4,37.6,0.0,0.51,14.0,33.0,0.07,0.01,2.0,9.0,0.14,0.1,0.1,0.18,0.6,3.2,4.2,5.0,12.0,4.0,4.1,1.9,2.4,2.8,0.24,1.3,10,236563000000
24.8,11.8,7.0,26.0,10.4,4.0,0.0,0.5,14.0,11.0,0.07,0.06,2.0,23.0,0.175,0.04,0.1,0.21,1.3,0.9,4.2,2.6,19.0,0.0,1.1,0.6,3.5,2.1,0.35,1.0,10,545000000000
36.8,9.4,9.4,3.2,9.2,28.0,0.0,0.5,14.0,19.0,0.07,0.03,2.0,17.0,0.035,0.03,0.1,0.25,0.8,2.0,4.1,3.4,4.0,24.0,3.2,4.8,3.2,0.9,0.32,1.3,10,419297000000
39.2,11.8,4.6,5.6,20.0,34.0,0.0,0.51,14.0,32.0,0.175,0.07,2.0,19.0,0.14,0.04,0.1,0.37,2.5,2.8,4.5,3.7,23.0,22.0,4.4,1.8,4.9,4.6,0.84,2.6,10,461391000000
42.8,11.8,3.4,6.8,26.0,11.2,0.0,0.5,14.0,34.0,0.14,0.03,2.0,26.0,0.175,0.08,0.1,0.28,2.2,2.1,4.4,4.4,14.0,4.0,0.8,0.8,3.3,0.5,0.89,3.4,10,510140000000
8.0,13.0,9.4,10.4,17.6,32.8,0.0,0.51,14.0,20.0,0.175,0.05,2.0,21.0,0.105,0.1,0.1,0.25,1.8,2.4,4.2,3.0,29.0,3.0,3.4,0.7,2.2,2.3,1.01,2.3,10,601671000000
36.8,8.2,8.2,3.2,9.2,52.0,0.0,0.51,14.0,24.0,0.175,0.08,2.0,28.0,0.14,0.01,0.1,0.25,1.1,2.9,4.9,5.0,10.0,22.0,1.9,2.3,1.9,4.6,0.93,2.5,10,555171000000
33.2,3.4,9.4,6.8,11.6,8.8,0.0,0.5,14.0,25.0,0.105,0.06,2.0,12.0,0.105,0.05,0.1,0.29,1.1,0.7,3.4,3.3,5.0,18.0,3.0,2.2,3.8,0.2,0.68,1.7,10,1250459609768
36.8,9.4,11.8,15.2,17.6,37.6,0.0,0.5,14.0,31.0,0.175,0.09,2.0,24.0,0.175,0.07,0.1,0.32,0.7,3.4,5.0,4.9,6.0,20.0,0.7,4.3,2.7,1.1,0.44,2.5,10,870344000000
33.2,5.8,9.4,18.8,18.8,28.0,0.0,0.5,14.0,28.0,0.14,0.03,2.0,32.0,0.14,0.08,0.1,0.43,1.8,2.6,4.7,4.4,11.0,27.0,1.4,3.0,0.2,1.3,1.16,1.0,10,564688000000
6.8,1.0,9.4,16.4,6.8,43.6,0.0,0.51,14.0,10.0,0.14,0.1,2.0,9.0,0.14,0.03,0.1,0.42,0.9,1.2,3.2,3.0,7.0,8.0,1.0,2.3,3.2,2.7,0.25,1.7,10,291703000000
50.0,4.6,7.0,6.8,4.4,41.2,0.0,0.51,14.0,28.0,0.175,0.06,2.0,24.0,0.105,0.05,0.1,0.32,0.4,1.4,1.6,3.4,3.0,10.0,0.6,4.9,0.2,2.2,0.22,1.3,10,622375000000
47.6,13.0,7.0,26.0,14.0,20.8,0.0,0.51,14.0,34.0,0.175,0.07,2.0,24.0,0.105,0.06,0.1,0.41,1.2,2.6,4.6,3.4,17.0,16.0,1.7,1.3,3.1,3.6,0.15,1.3,10,650813000000
28.4,5.8,5.8,22.4,12.8,19.6,0.0,0.5,14.0,22.0,0.105,0.08,2.0,17.0,0.14,0.04,0.1,0.21,1.0,2.3,4.6,3.5,30.0,10.0,1.3,3.3,2.5,3.4,0.52,2.6,10,192984000000
